address,balance,tier
0x38df7a41efc3730b9d526361a1a6e7a743a95b5d,0,tier0
0x9b8471160737db8979d6fc955db57133a84629e5,20.040081979573632,tier0
0xb5ece9318223be6f04840bdce1184ba9ab769ecd,94.71091815346247,tier0
0x37a05ef4728aed21e88e1267ca242dc24d87c05c,119.17165362535629,tier1
0xfc46e06458fed1a38988e364ef908b2bd2cdd870,1539.262289843885,tier2
0x2d73a94e05d551bb3f41541628b11c1a66a0e988,399.60005147622553,tier1
0x5f7a80d9413945160a95c53212f7d6caba569ad9,217.85164786232494,tier1
0xf29808b08b536c63d33aadfa73ea5c2028fe0e89,72.96274939466085,tier0
0xba1442c46d58ce080f56cdbaee5bd84fbef34c7e,111.55255783955477,tier1
0x566994cc0d15be315e18c18e34884e3e1e6151bf,34.00803801341357,tier0
0x6f93a5fa5763779114bdc1bac32eace0cf8a6d95,613.564196160828,tier1
0x586d0cf12bac10725f488900bf24d04fbf87e8ef,2191.37503289852,tier2
0xd64b9ed39fd53fb0729d54e2b43f177568da5abe,584.4156653588223,tier1
0x43528599308a8242dabfbf31a76b6890ede67112,19.823107770892676,tier0
0x3a32afff419bc3a41c68ddf793917cedc6ff9ad4,54.597242044038786,tier0
0x6f7738f1104c8c69ef446cf0fbaa30912f073340,650.6067144679843,tier1
0xdb9b936373f859ce8c580bbc35b0eab89ca9fd70,69.28438809595647,tier0
0xc0c7589e1d74aaa5d9f5a91d68c68160425ad125,0,tier0
0xa5e67b5196b37e7c10ab50f0ce138f055105e49c,17.078583282670287,tier0
0x418169471092be3a83a2c09b519a07c0fca37c82,416.2133755316409,tier1
0x50a354f9edaa453d59ffe1f88096b3b8225e7afe,299.35937757723707,tier1
0x34b217e0267fb9d4b48446d86a72ef583fe88ee0,21.029400355818037,tier0
0x38df7a41efc3730b9d526361a1a6e7a743a95b5d,168.1649784537744,tier1
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,250.524457674125,tier1
0xa957b40432520405926284f4aa2b8f86b25cf761,90.29823147977045,tier0
0x491f5335588215b9b25e1a0728ff6335c07be007,20.40370540786183,tier0
0x319ceaa55a6b8e5a1011a9c6ebbb19154adac6c1,56.76193977306114,tier0
0x8bd4344803de93a091ad6eac6cf51e8401c951e1,381.4763436271558,tier1
0x44ced1c5976b1bbb0d72375fddf5fed402f75c5c,14.27683560259378,tier0
0xcaf575e6c5245180af6eb302a480e88f912fbe18,0,tier0
0x890c709be909a4e7b0047ecdd170ae90d7c2bd3a,1344.6717912887837,tier2
0xd3e59ed4120be6d196e4117b23d3177031add345,35.1255331472513,tier0
0xbd1848d3b6a892eedf7c4281e4f0c2901dc81f5b,468.7282974026848,tier1
0xedd138f8b6652950d79349169f9e65b603bdfb05,20.373048293663576,tier0
0x751830d90224b6b4eedf41886778013a8ccaadc1,0,tier0
0xc7fa7b0256d79d958259d54ea5b0d1c290ac0ed2,141.15479359609773,tier1
0x7b8152fc0c1caa01cd22b13e460d01b471ef66f8,145.09161324041762,tier1
0x5a51b0a11ca2ea2b216253f635b58bd087555980,820.4223039967857,tier1
0xbb8652ed4f6ccfc77cc2ac2a771b455781b3ae85,2034.3253742893144,tier2
0x43599fdae1438b16856d275fe8899fb8b7216e37,30.003319469612617,tier0
0x076678fbff01813291fe95a19341a8048b31008a,336.88178304012945,tier1
0xf9f52fdd24aea31e0b9e7959ff13422f405f46c6,625.2352861861332,tier1
0x85183d2454437e18fe6e251102cbb4e02d226008,19.350325935211398,tier0
0x10460187ad16d9b6b0ccd6cb6588943788b0d168,1148.2064794192547,tier2
0x830325961c67e1e4220511e34c41dfe926a9b5f4,0,tier0
0x641f8abdd21bd8a8ae7ab4df0378fd578308af8a,67.11713303341818,tier0
0xc0a604f2099dcda1724253608b22a181625eb8c6,0,tier0
0x9a07fd8598a4b159449166e76c69e0581625c4b2,76.74010971537896,tier0
0x0b381d7942936d8fbb15d0a5c49b63ed21021d63,0,tier0
0x15542b62210a875f2dc82217e2f276f8b902317f,93.81247802138591,tier0
0x660103e8a4368f54cad0f77bcc12da4bfe830697,117.10892653556645,tier1
0xfdc4d506b2ddaeb7b67bc1566ad692303213ebd9,60.87360516799862,tier0
0x2e3baa9ec2a73e6813cbcea552f8a8db39e70bde,14.018113567264303,tier0
0xb844fb87185a3eb23132138195fee7150970d3ae,161.24523826786591,tier1
0xbf5fb6007b89ccd226f2c1874745de274b3ecff5,75.34999751648884,tier0
0xc179bea549dcac9a6313b2379a4290a8ee281d09,0,tier0
0xa6c23e20a2d8ca6764183ca71687de8b690ad546,4907.802832002176,tier2
0x63c97aa245a7b64654b6741a1e57e6ef9ebe88c6,1314.5816483151493,tier2
0x3951c5331216b4bccf2afab7ae35f5347e7777ae,140.18074458498157,tier1
0x800e1fdb99cdc232289fc8dc972d0aa668baa45c,0,tier0
0x178c9d7b3edb5cd443f5370271724a2143a24635,1524.6807939483344,tier2
0xf432151bfa8fb86962622df838c68f3b77fc401f,455.70011131807814,tier1
0x94c3a9e5373b51a1a37c7e1ae52654181b446d17,225.18513812195303,tier1
