address,balance,tier
0x87f00f3a0409ccfc2ec4f59b6d898c3c0e10ddb3,0.00,tier0
0x63798de1a0e801de233034d57cb9b033f7606d2d,0.00,tier0
0xf9f52fdd24aea31e0b9e7959ff13422f405f46c6,202.46052469263157,tier1
0x90a4e884923cfa1574aaf318be6f7ce767060142,0.00,tier0
0xda44e75250bdddfae0fc7f7722c02aefb8896e95,0,tier0
0x81415123c4163d0886099917ca35140b228c35c1,0,tier0
0xb08a9d1297d4bb640315aff69ad9d0d15a59200f,0.00,tier0
0xc1bc833df4cd881f435fe07f44a185c35fc377cf,121.96208231090993,tier1
0xfd7934d8b48b05ae26bc85a3d4b28ae0c545daf2,0,tier0
0x3dc46c5c6b75ebd2f5d96928dd1b355448ed8077,0.00,tier0
0xeb2f8d7591e381d57440edf1470614b5fb55beb5,0.4,tier0
0xb37342e6a3b2e974f2968eb2ff31b15c3104a69f,0.00,tier0
0x9b515f56e787c3dceffeafc7c07bdadc4343a9eb,0.00,tier0
0x700137b458995ef4a0ceaa22e03e56a8d8ef0814,0.00,tier0
0xb0d4e26dd79a3bf68f0fe7b588e35fa6a802d77f,100.00,tier1
0x2d04fb4f94328e2dd539f820622720e236d27525,0.00,tier0
0x8dc286a739f73b15870b60cbb0981f24f73789f5,0.00,tier0
0x5a6ea62177b31f319ef87751ffeaf478883d39c0,0,tier0
0xe34409b07276f046f8b975518af820229ade2fe9,0.00,tier0
0xc38479148159e5514e772dfd7100f83d344dad18,0.00,tier0
0x55447544ad162305697321fb883a18fac73ddea4,0.00,tier0
0x53778b7b717f6f45fcec802fbe2c160616865ed4,150.00,tier1
0x081936a0ca0b8f969a21f5011322cd6b095fbe15,5011.34,tier2
0x83b32bcd04827c23f10a512c6c7814d151dd9149,0.00,tier0
0x862255bc33cf39eaa446b68232da3158a60909e7,0.00,tier0
0x4e51dbcb32e00ea5ca6105bcf2e028787cc90a0b,111.57,tier1
0x24296b01e201425d542187aed7301a3549055c7a,0.00,tier0
0xa3f933e343f42af6d24be409d5b45a619a9047f5,0.00,tier0
0xb68417d52d8bd67a7712a22d62c0d2475061c8c8,0.00,tier0
0x4cdc770e8bcaf897a7e96ce68d44c76f72ac2fc3,0.00,tier0
0xcfd831f4dbf45abec8f6b0764e2c819882d67482,300.00,tier1
0x5b48ef2e1236eafa8a59bc5ae232dbc477d081b1,1013.3666580665383,tier2
0x6c3f51538e7baed79fc89044cff316bda95ac42f,50.00,tier0
0x69451c765e81847c9d57430608062c115d24caae,0.00,tier0
0xe4d26951a1adc999aea5d99ec46ee695f9a99ab9,0.00,tier0
0x174ba7c64e8bceef2c1723bb96f83b28b857afb9,0.00,tier0
0x05f97daa788caea4de0e0a337f1acff0fe1ca901,0.00,tier0
0xe80db9fb130fed2974c563f8fc231749b96ca62c,0,tier0
0xb280d68f2750d2b8ac9ee5ae9fd843ffb6fc4497,0.00,tier0
0x8f909a39660298b8fece51cfb6f5819183d7dfd1,0.00,tier0
0x0b12ebaf57a94c392dd90d202dc526e742448a10,0.00,tier0
0x18af1a41eca42744f1ebe19bed3ec6e65115ad73,300.00,tier1
0xddd7656afaebd23f36e84833ba5a9da329bfa174,0.00,tier0
0x9ffe6d053166c177b17c06ec81f9ed0b28a46ade,0.00,tier0
0x0759d51be11cbeb70213ab5d1e023ab981441f6b,0.00,tier0
0xf9aef5d2e88ee568f32518af14b0056844c3a539,100.00,tier1
0x8bd4344803de93a091ad6eac6cf51e8401c951e1,0.00,tier0
0x6641e6fc8a69c5ca521294be604853afea4a2151,0.00,tier0
0xabae0d58ec9eb58255227c2abfa7365c9d409422,0.00,tier0
0xadec6aca043ef3bb695b65273bf8edb0bea570f8,70.00,tier0
0xba11f5c64f8e584bbb1ee4ba94c85f9e54d0537e,0.00,tier0
0x2ed3f2f873b260af2336264b72dc73ad34b2b33f,0.00,tier0
0x270a5635acc5ca85ab44256f332c93aafdf70404,0.00,tier0
0x5dc1a1c6b232a18d06e0764f88998329b44e7067,0.00,tier0
