address,balance,tier
0xb8e0ed7ff9a7774c4bdf8e8ec313a48e75156d63,0,tier0
0xfc46e06458fed1a38988e364ef908b2bd2cdd870,0,tier0
0xe487d0b16dbf0b74213c125137aa50e7f84a10e6,0,tier0
0xb5ece9318223be6f04840bdce1184ba9ab769ecd,0,tier0
0x7ca19402273bb4e95ec3bd4fa58e01f8a8f43202,0,tier0
0x5a82295a2b9d382b640bba8a4a364d8344f9199c,0.20096363,tier0
0x38df7a41efc3730b9d526361a1a6e7a743a95b5d,0,tier0
0xc7fa7b0256d79d958259d54ea5b0d1c290ac0ed2,0,tier0
0x5f7a80d9413945160a95c53212f7d6caba569ad9,0,tier0
0x4d09420614df800e46b3e393d5534d1379e94300,0,tier0
0xa25fe322455c32563442d61ddb3c5ed070db07e7,0,tier0
0x098c2d9b6cf6506b403d86e9e3448b50f096e8fa,0,tier0
0x6e4bb750ab33c7dd5bc0ea274a5055083c38355e,0,tier0
0x178c9d7b3edb5cd443f5370271724a2143a24635,0,tier0
0xa8fcdb8d1761a5080f52d69b97b71b4520a44e8e,0,tier0
0x09ea70b23956dffb8f48bdb09cc73cd56358e4d5,0,tier0
0x97a4553983d71b19548c4d4c2d60fd4172b26b96,0,tier0
0xed0151d37f50214501c4356deb4dcc7ff721b34d,0,tier0
0x7e98e142259d873bb65f33db8eb33d6a427f1e4f,0,tier0
0x9b8471160737db8979d6fc955db57133a84629e5,0,tier0
0x95056124b98e463c8954bfee29469ddd4ef9bcf5,0,tier0
0x6c81eac7a73bc4f2ba1ee011abe8cd3fe0cf4540,0.02254866,tier0
0x91a815025976cc12e6da2dbe5795cfe3691207e0,0,tier0
0x439d8cd77ffb644c7cb4beaed13f2318febdf2df,0,tier0
0xa103f72e8717b62813167cb58872722663346fcf,0,tier0
0x20607f4abdd62988e26f637d2a6105f5e1f7c50b,0,tier0
0x50a354f9edaa453d59ffe1f88096b3b8225e7afe,0,tier0
0xf181e130e18c17e9988bd997886383d42a655153,0,tier0
0x6ee7ac91bbbc33e146726438496d407b08212b3b,0,tier0
0xe540c45c504b348ad4d6eb9344e6cfa07c959be6,0,tier0
0xc5d43ac33aaceb8c5b9c1b989763940935cf4f54,0,tier0
0xfe3808c160b2b6cd9a6cf389310a2b1500c5dad8,0,tier0
0xa0a303a1836a285c230204098c06074d16951a43,0,tier0
0xe8f04e41e293bbf56bcbd6337a3677634ca685a3,0,tier0
0x43599fdae1438b16856d275fe8899fb8b7216e37,2.49639176,tier0
0x586d0cf12bac10725f488900bf24d04fbf87e8ef,0,tier0
0x7b8152fc0c1caa01cd22b13e460d01b471ef66f8,0,tier0
0xf29808b08b536c63d33aadfa73ea5c2028fe0e89,6.0707818200000006,tier0
0x8b616ea9130a3dd3e5cef5a4bc96327de722b896,0,tier0
0xba1442c46d58ce080f56cdbaee5bd84fbef34c7e,0,tier0
0x0f6a17efea6fa8d4995593f96d21cfd85a968d5c,0,tier0
0x4ea9cb5baed46c2c3c986e22032defef24ce4fba,0,tier0
0x2d73a94e05d551bb3f41541628b11c1a66a0e988,0,tier0
0xaa8fdd731815e001f3bec719bbc1b096deacce5f,0,tier0
0xd7d2303e1598d502a75dfb1b44023389f361f3c0,0,tier0
0x18770728fe5d4a8a0e3f31eacbf022f7b82a6740,0,tier0
0x9d0def201c9ddbf7613e453cfd64edede975d1a9,0,tier0
0xf12f79ba06aceff78367239610d5dd1f004a1401,0,tier0
0xd9d415369ccb64733d16992c932fb9749cdf91d2,0,tier0
0xfd2e926d80c70ab97fc0f60e953daf46ec651ef3,0,tier0
0xdb9b936373f859ce8c580bbc35b0eab89ca9fd70,0,tier0
0x566994cc0d15be315e18c18e34884e3e1e6151bf,0,tier0
0x8bd4344803de93a091ad6eac6cf51e8401c951e1,0,tier0
0xc9bd8d37302bfa4cddb8afad3a03cd187f3f2318,0,tier0
0xf9f52fdd24aea31e0b9e7959ff13422f405f46c6,0,tier0
0x5639368055838412b39463b2bc917b3a968c4b5b,0,tier0
0x751830d90224b6b4eedf41886778013a8ccaadc1,0,tier0
0x55e83471992aba2f18fede04383d7ffcc8618533,0,tier0
0xb85b0f6c99415155deacd3463befceae2e8365fb,0,tier0
0x2869db70e18cf934ec70fb3d7a2c11c8e58826ad,6.8563272,tier0
0x11679c147c408c84abd200b4c6125203d618d9f6,0,tier0
0x9ee3eb9c12a35a2c3d0d159ff47fcea0c7315af1,0,tier0
0xc347a4722db289d3fff1213b1972db4b6b555a39,0,tier0
0x5640da22a129f894e2238ab42edf0908999b9d00,0,tier0
0xc05c231293448e82fadd1bec390d23fc79589140,0,tier0
0x755b5399f9babc4a6393d47ac3b5c6244f4cc6ab,1.65220089,tier0
0xbb8652ed4f6ccfc77cc2ac2a771b455781b3ae85,0,tier0
0xe953890704d3b763a11513e018af79a11a023bd6,0,tier0
0xb7e7f601165fdd34f25b40d685623575a41d981d,0,tier0
0x894a644661bd0e30e745bbd6e4065ab8a4ffa20a,0,tier0
0x50a1f292896129c6bd6d6188395da00d53e1bc02,0,tier0
0xf672c5c3d181f4ffecee85e9deeeceb2be06ae24,0,tier0
0xf81f7b4e06dd5d4090899ee0c70d19686d68f2b3,0,tier0
0xfe4663fe2476c16b6f1db527caafc74840c096de,0,tier0
0x041bfe6cb9f6e37cef70b7e013ad7164c054d044,0,tier0
0x25c7c11cdd04924e764e19c65f647297b56c7ed7,0,tier0
0x757724eb94e65a4b4b6accd33148e61fbb5d7603,0,tier0
0x329f6d94e6460548f4a7d1d333b443789ff32ed7,0,tier0
0x51b6fba554cf39331c7df70eb4c5d4a99e798ce2,0,tier0
0x2d04fb4f94328e2dd539f820622720e236d27525,0,tier0
0x69d3b2b0f907f9d50e4e12bc8f481a3f421d5a27,0,tier0
0xd82d52c52d818155c93ac4af70792aa2083e5266,0,tier0
0x6a8323967d35f1f947cb8056b1acebd22d7935af,0,tier0
0xec08fa49a508efd02164a6db8ba1f52dc11ab3e6,0,tier0
0x5a51b0a11ca2ea2b216253f635b58bd087555980,0,tier0
0x49606894e83cce1bb0a4e57269d743793f723d57,10.72504096,tier0
0x3e69569b2de3b87d35b9a274787d7b304487b016,0,tier0
0xacd7302bd8dffbec505732851a7402f280c6a26d,0,tier0
0xb7738b66c6443554ee2171a6a10e1f9de8677546,0,tier0
0x91e7fc7579538dc5b92d89ac4cc383b86d9e8ef8,0,tier0
0x4c032345d77bb6d92e56a09ac6bfcde1dd9455b6,0,tier0
0x896ac948df1278e52d5dff6124dbf280a619e477,0,tier0
0x2211deae839844f79d68b384b01fe03e40c5e655,0,tier0
0xbb7693201028aab7c1970647c303d04736c20b97,0,tier0
0x94e8d85f00931bfb7698714a141224980eda929c,0,tier0
0xf432151bfa8fb86962622df838c68f3b77fc401f,0,tier0
0xc1329f29e803adf0be9fb0f07e86fe9d1fde38b2,0,tier0
0x8ee4c695f64c5f0e549634a9393656f8a6f5efc6,0,tier0
0xa957b40432520405926284f4aa2b8f86b25cf761,0,tier0
0x7c589c0ecd0ca2e8a9eb15572cfac9713365fa69,0,tier0
0xf0f713ff043890dc9fc1adefb1b093f221b5f736,0,tier0
0x3e18446f927e687bb99619096eb309d14bc1e531,0,tier0
0xafd44914ee4b61d4d069041cc90ce766b9846bb8,0,tier0
0xae2ba98692b205989479ad8415f29884921c8cfa,0,tier0
0xad4c48e6f1b6b286ced843fc576dfb3b60d6de55,5.72133472,tier0
0xc5f7759c28eef5fa4b201150db695467a64b51ba,0,tier0
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,0,tier0
0x685f68b87c390694507c38595048cf5cf7fc6712,0,tier0
0x403991744ee359971ddef35ed540ef837373af73,0,tier0
0xc203979f517bcb505806f3740655bd038b746723,0,tier0
0x00ac30cab79628752dd00273d525c1d9e35356e0,0,tier0
0xca2882d9773783b4ce79835427bb74993f7fb363,1.83673468,tier0
0x0a3477e6f1eccd9289986a5f35f0b0c1047f5523,0,tier0
0xba4a602bf1b9c92b9c141b422aee0b759750f9be,0,tier0
0xbb566f649780da4e8326f0bc5c581655efeea04a,0,tier0
0x750f84ee767ab13c85d60c770717e4b457b62504,0,tier0
0xc1a41cbd8b8159ede3a35897be7147aef829d1af,0,tier0
0xb9a979ae038e21338990bdf8a0a13eead2fb9919,0,tier0
0xfbe9ed154ae6565c9a4c39842175389696d9a7f8,0,tier0
0xbe64c8a2c6ee6a8edeb4789b031525183a464881,0,tier0
0x85034aee1c2a367b7b22707e2574f9c35d0ac0ab,0,tier0
0xecd9c2982c90306e49e727d9d785ee34f54e60f9,0,tier0
0x00382e748bd82cb2b2d75b515e3b17900dcb10b4,0,tier0
0xf84919f489a3accbf6fb37a4f0b3022fdd9a23a9,0.48825306,tier0
0xc0a292cf423eeb0bd7f65da30d2de84b15bf8f57,0,tier0
0x758597a5671231211ed2dd13075c2f66cfaf4a9f,0,tier0
0xa0f7aca1b53818d951a371ca0eab7b74fc745ca7,0,tier0
0x9a07fd8598a4b159449166e76c69e0581625c4b2,0,tier0
0x2de8284d5940bf01e79cc7782142d06afc8ce500,0,tier0
0xa240dc100b2ff860af9df657a37e00864b90211b,0,tier0
0xe15e122cd8a86ecebaf306d958195d6ed7454b3c,0,tier0
0xfb708aef55f863e20f5a2b98b92b30db3d296e59,0,tier0
0xa5d253885a21b0b35ce2fc615b2c32de8ec31021,0,tier0
0xec6de9f2c16fe0191c3850a9b1001fcf6a50166d,0,tier0
0xa70e6fe4488104be32b9b657f5be7b68afc17f9a,0,tier0
0x5054442a3748e782e54ad4635213f648d5bb9f84,0,tier0
0xb13eae8ea098d9c8ae2e3f8a525be6a785c64818,0,tier0
0x9713a802adb42b45e5cc78426e20cc97a8a13c16,0,tier0
0x23c205899f525d49cfa3e4410b427304128509c1,0,tier0
0x68e7dd9f5336f2ae12012286c9ef98738a93dc51,0.19974417,tier0
0x12e5513b11240b7a4adb27f52b36e785e18cfde0,0,tier0
0x5654e96f84e301c759399d25c7e6184b3360ca58,0,tier0
0x6e08762bee2b54198836ebde660de7c2a6b2646c,0,tier0
0x8ca44f779cb197d18930824689b2f61fe018c9ae,0,tier0
0xc5469d6e33e72890f51abc29946101452e38b575,0,tier0
0x2acc74f3a30055d327ab8c185f6af70bad040ba4,0,tier0
0x973146bf8ff2a0466c6f84514dc0a3424b081bda,1.80486951,tier0
0xbf7ca85e081441ea676f5d8721a7ab9853508aad,0,tier0
0x9c3fcfa2175a4c57ca7aed9a1f87e80fcf39b1ae,4.47867849,tier0
0x06d54a71564b782b950b6d60eb5ddc76585c75c8,0,tier0
0x35f5bcf3531fac6f70f98a386a8ca452dd5c10df,0,tier0
0x7d53f718c8799110bd8598f9aad4a1fb109aa0ab,0,tier0
0xb8dc01dd7d68435644c03a83a34aa9bbe0bf5ef6,0,tier0
0x6a8e11f1c58b657446a5b2a75a03a909350c41a6,0,tier0
0x1e36b138aad53795b7fefd7d9b339d6e8bbdf67f,0,tier0
0x172f0200bf622ce8aebf8f2e3f32e9ac01564988,0,tier0
0x5fb0058280611b57e7fd96dc4ba3616bd0d29806,0,tier0
0x240d881d12976a45e0594f5660d30b0389faef04,0,tier0
0x98bc125c4cfe77178dc9a5f8554ad2869535e393,0,tier0
0x407ad0f23f5ded868c5d10569bd73b06261f5556,0,tier0
0x06c7e2c6cb485d52007596288a35f040c1ce2b89,0,tier0
0xb020f5d855685aec673d8e48acb23138728468e6,0,tier0
0x3ec5bc28734e03012923b6e914106cfafc631187,0,tier0
0x0f44abe5dd04c1839d6693d385614711b911102f,0,tier0
0x11120e9f210f40dc6c033842376c0f023489621a,0,tier0
0xfd7934d8b48b05ae26bc85a3d4b28ae0c545daf2,0,tier0
0x5abe50f7579fc77db99bff7ab71efb16378fad43,0,tier0
0x0fd7773d712c3bc4accb02bd9d6612bcc17b5bc2,4.49772807,tier0
0x2d7c95fadd3c3dbd253012de8dc1c1224117bd20,0,tier0
0x0d878207eac013a2136d2938122d1fe95ec0e53c,4.74840124,tier0
0xf609d7baefad4098fc84e91dabc838af0dcadb33,0,tier0
0x6e4eddaac0c50f923e5eebbfa6efd6eb52c38c7c,0,tier0
0x996c3fbd3edcfc3799949540d61cdfaeed1ce2fc,0,tier0
0x7b1086172a8206b524eb89a52665f34612d07246,0,tier0
0x33eab43afcf4d73e8420e2a8487b427415691f5f,0,tier0
0xb842457fa57ea6f4fc8588c56e2e60232e12cbc1,0,tier0
0x728dc72e7e07b0b1fdcc51fe00cb225195a54bb3,0,tier0
0x7e6d4318e48edf787ec4d0a231ba2850bc4dcf01,0,tier0
0x7cc9982dd500327b25a841cb6dab9b5a50741c30,0,tier0
0xc7348f764e17a598aec05d66b369efa682f55107,0,tier0
0x655544c9452d938c7c91ecad9b177aa3f5b7b6ef,0,tier0
0xcddf0a9ab1f9ce46edb2aa4d7ba75985c74af0a6,0,tier0
0x6eb4cfe7be1c5123666da815c75c3a3737f81bab,0,tier0
0xb706d8618bdad03da01b677f3fca39b76bffc025,0,tier0
0x0358e71ef256be5cd259fb1e2d2b818375e659be,0,tier0
0x3f6d4b6f829ce2e4736c1faa95b00859a85acd46,0,tier0
0xc336e87b8db92e7f95e4cec75c909e4545e35069,0,tier0
0xae78fc565e2a2ffe91dd002f22f4912e2e0cd711,0,tier0
0x93d57f3250b06e31a62879c6c4425bdb38d2670c,0,tier0
0x010c68a2ca2a172d5d708a84e76b055edea7c71a,0,tier0
0x26bd1a2d21d1d0f796067e751bd9145bd3bd40d3,0,tier0
0xe02416ae57dc15fcd59e8fd73458050bc8809bb3,0,tier0
0x313d808f3ee4fd6dc275773d1ed0d8f9fca2500d,0,tier0
0x09970bd78a9a385d9d5c8e68b0339821fdb1daa8,0.49331786,tier0
0x43528599308a8242dabfbf31a76b6890ede67112,1.64935893,tier0
0x97c6aa0db6d0e2588d12bffca6cec5dd1d606b62,0,tier0
0xf08b999762e35b0a054eb194b0075d396a23ead2,0,tier0
0x0a0c53c062adaf6880885dc3c8d3d4dccb8adea3,0,tier0
0xfbe5782ef6cd650a156fc9fbcc1aba0920962e1f,0,tier0
0x2e3baa9ec2a73e6813cbcea552f8a8db39e70bde,1.16636105,tier0
0x41282e81bab3f054c901e566c906aff3fff49fe8,0,tier0
0xbf6d13791767f7272913277bd422d19875c0eed3,0,tier0
0x7668006428afdcd4c39b79f8bc0b76bde1a54c8c,3.96007937,tier0
0xea6dcb8fc3298e38c87fb7b8fd04dda9fa70202d,3.95834184,tier0
